addr,category,context,id1,name,rank,x,y
충청남도 논산시 연무읍 감바위로30번길 6,"한식,한정식","한정식,간장게장,갈치조림,불고기",13060891,보은집,5,36.1222040,127.1293360
충청남도 당진시 합덕읍 합덕대덕로 502-24,"음식점,카페,디저트",,1456338717,카페피어라,4,36.8061309,126.7403286
충청남도 당진시 신평면 매산로 174,"음식점,카페,디저트",,1681164045,식스어클락카페,5,36.9176972,126.8125617
충청남도 당진시 신평면 매산해변길 144,"음식점,카페,디저트","브런치카페,야경,멜론빙수,고급스러운,경치",35150086,해어름,6,36.9301732,126.8066351
충청남도 당진시 신평면 삽교천3길 78,"일식,일식당","해물칼국수,조개구이,신선한,친절해서,매운탕",17702287,보경이네불타는조개구이,7,36.8904741,126.8239712
충청남도 당진시 밤절로 132-53 중앙빌딩 5층,"음식점,카페,디저트",,1156335752,카페빈둥,8,36.9011323,126.6457474
충청남도 보령시 해수욕장6길 79,"한식,육류,고기요리",,1270226828,고기요,1,36.3087728,126.5153147
충청남도 보령시 해수욕장6길 118 해물상회,"음식점,한식",,1426156282,해물상회,2,36.3104841,126.5146982
충청남도 보령시 해수욕장8길 51,"한식,조개요리",,30920305,대천키조개삼합,3,36.3130220,126.5131230
충청남도 보령시 오천면 충청수영로 839-10 하니쌈밥,"한식,쌈밥","두루치기,쌈밥,회무침,고추장,닭갈비",13460097,하니쌈밥,4,36.4387505,126.5208248
충청남도 공주시 금벽로 1071,"카페,디저트,카페",,1468998995,롱디커피,14,36.4441939,127.1972199
충청남도 공주시 미나리2길 12 공주한옥카페 엣지,"음식점,카페,디저트",,1218520221,공주한옥카페엣지,15,36.4621551,127.1225176
충청남도 공주시 반포면 정광터1길 164-3,"카페,디저트,카페",,1083245097,카페보니비,16,36.4026977,127.2259179
충청남도 공주시 백미고을길 5-9,"음식점,한식","쌈밥,돌솥밥,주물럭,친절하고,나들이",38223276,고마나루,17,36.4647606,127.1229762
충청남도 금산군 추부면 상마전1길 2 장춘관 식당,"중식,중식당","짬뽕,짜장면,탕수육,드라이브,간짜장",17528051,장춘관,13,36.1922174,127.4658453
충청남도 금산군 추부면 마전로 57 특수전기,"카페,디저트,베이커리","식빵,단팥빵,케이크,도넛,짬뽕",20744457,바르비종과자점,14,36.1911625,127.4666366
충청남도 금산군 금산읍 군청1길 11 티내다,"음식점,카페,디저트",,1889235101,티내다,15,36.1083146,127.4886490
충청남도 논산시 연산면 선비로 380,"음식점,카페,디저트",,1114122332,트리탑,6,36.2203195,127.1916600
충청남도 논산시 계백로 791,"한식,쌈밥","우렁쌈밥,삼겹살,돌솥밥,유기농,오리고기",36229652,싸리집,7,36.1891453,127.0732730
충청남도 당진시 신평면 서해로 7309,"한식,소고기구이","한우,삼겹살,육회,육개장,목장",37438283,동원식당,9,36.8802747,126.7873706
충청남도 당진시 송악읍 신복운로 173-1,"한식,게요리","게국지,양념게장,간장게장,아늑한,향토음식",37549093,꽃게와꽃게집,10,36.9411974,126.7835881
충청남도 당진시 신평면 삽교천3길 20,"한식,생선회","조개구이,공원,매운탕,깨끗한,싱싱한",17526519,청해조개구이,11,36.8903513,126.8228318
충청남도 당진시 남부로 453-32,"음식점,카페,디저트",,1657114545,카페로우,12,36.8782404,126.6642122
충청남도 당진시 석문면 석문해안로 159,"음식점,카페,디저트",,1962499395,SHWIM,13,37.0359008,126.5402968
충청남도 부여군 부여읍 나루터로62번길 20,"한식,막국수","막국수,아울렛,연꽃,친절한,나들이",13427309,장원막국수,1,36.2891716,126.9087747
충청남도 부여군 부여읍 나루터로 39,"음식점,한식","연잎밥,떡갈비정식,패밀리레스토랑,고급스런,나들이",13427311,솔내음레스토랑,2,36.2858919,126.9089130
충청남도 부여군 부여읍 성왕로 284-1,"한식,육류,고기요리",,1882198179,본가석갈비,3,36.2832951,126.9187874
충청남도 부여군 규암면 흥수로 581-6,"카페,디저트,카페",,1795122074,합송리 994,4,36.2664056,126.8470750
충청남도 부여군 부여읍 삼충로 325-34 높은댕이,"음식점,카페,디저트",,1057766627,높은댕이,5,36.3116281,126.9548579
충청남도 부여군 부여읍 중앙로5번길 14-9,"음식점,치킨,닭강정","통닭,치킨,재래시장,친절한,나들이",13427321,시골 통닭,6,36.2819950,126.9116033
충청남도 보령시 해수욕장4길 76,"한식,해물,생선요리","게국지,해물탕,간장게장,신선한,조개구이",13444546,신선한게국지해물탕간장게장,5,36.3083940,126.5152439
