addr,category,context,id1,name,rank,x,y
전라남도 함평군 신광면 함정리 546-2,"여행,명소,기념관,생가","유물,산책",13542043,일강 김철선생 기념관,9,35.1894467,126.479748
전라남도 함평군 신광면 가덕리 306-1,"여행,명소,자연,생태공원",,1337602737,함평양서파충류생태공원전시관,13,35.139549,126.494092
전라남도 함평군 신광면 가덕리,"여행,명소,자연,생태공원",,17140074,함평양서파충류생태공원,5,35.1391759,126.493642
전라남도 함평군 대동면 운교리 500-1,"여행,명소,자연,생태공원","생태공원,동물원,수변공원,조그마한,가을소풍",12250856,함평자연생태공원,3,35.1356319,126.5021488
전라남도 함평군 대동면 운교리 500-1,"여행,명소,동물원",,13091119,함평자연생태공원에코파크동물원,14,35.1353134,126.5050166
전라남도 함평군 대동면 덕산리 856-9,"관람,체험,주말농장",,996469530,나비랑 딸기랑,16,35.089727,126.5128433
전라남도 함평군 나산면 이문리 884-3,"문화,예술,전시관","유물,생태공원,조그마한",13517179,함평생활유물전시관,20,35.1411075,126.6173043
전라남도 진도군 진도읍 동외리 268-14,"여행,명소,테마공원","테마파크,공연,물썰매장,재미있는,체험관",20956109,진도개테마파크,4,34.4823585,126.2785636
전라남도 진도군 지산면 앵무리 235-3,"여행,명소,기념관,생가",,1381259223,송가인생가,17,34.4461403,126.1970379
전라남도 진도군 지산면 앵무리 1280,"여행,명소,지역명소",,1021306624,송가인마을,11,34.4435737,126.2003066
전라남도 진도군 지산면 길은리 494-1,"여행,명소,관람,체험","체험관,일몰,산책",20587028,길은푸르미체험관,19,34.4700155,126.1880152
전라남도 진도군 지산면 가학리,"여행,명소,전망대","일몰,전망대,섬,깨끗한,드라이브",13587821,세방낙조 전망대,6,34.440345,126.1022855
전라남도 진도군 조도면 창유리 산1,"여행,명소,등대","섬,전망대,국립공원,고즈넉한,경치",20059747,하조도등대,15,34.3110512,126.087782
전라남도 진도군 조도면 여미리,"여행,명소,전망대","전망대,국립공원,섬,신비한,경치",34581380,도리산전망대,18,34.3281917,126.0037139
전라남도 진도군 조도면 관매도리,"여행,명소,섬","섬,해변,일몰,몽환적인,등산",11491863,관매도,8,34.2346305,126.0494202
전라남도 진도군 조도면 관매도리,"여행,명소,해수욕장,해변","섬,유람선,해변,일몰,산책",13491127,관매도해수욕장,13,34.2443139,126.0522109
